Name,Category,Group,MatrixID,NumRows,NumCols,Nonzeros,Symmetric,SparsityRatio,Link,ImageLink,Source,Params
bcsstk30,large-matrices,HB,52,28924,28924,2043492,Yes,0.0024426218,https://sparse.tamu.edu/HB/bcsstk30,https://suitesparse-collection-website.herokuapp.com/files/HB/bcsstk30.png,SuiteSparse,
bcsstk31,large-matrices,HB,53,35588,35588,1181416,Yes,0.0009328154,https://sparse.tamu.edu/HB/bcsstk31,https://suitesparse-collection-website.herokuapp.com/files/HB/bcsstk31.png,SuiteSparse,
bcsstk32,large-matrices,HB,54,44609,44609,2014701,Yes,0.0010124314,https://sparse.tamu.edu/HB/bcsstk32,https://suitesparse-collection-website.herokuapp.com/files/HB/bcsstk32.png,SuiteSparse,
pre2,large-matrices,ATandT,285,659033,659033,5834044,No,0.0000134325,https://sparse.tamu.edu/ATandT/pre2,https://suitesparse-collection-website.herokuapp.com/files/ATandT/pre2.png,SuiteSparse,
twotone,large-matrices,ATandT,286,120750,120750,1206265,No,0.0000827310,https://sparse.tamu.edu/ATandT/twotone,https://suitesparse-collection-website.herokuapp.com/files/ATandT/twotone.png,SuiteSparse,
bcsstk35,large-matrices,Boeing,340,30237,30237,1450163,Yes,0.0015861323,https://sparse.tamu.edu/Boeing/bcsstk35,https://suitesparse-collection-website.herokuapp.com/files/Boeing/bcsstk35.png,SuiteSparse,
bcsstk36,large-matrices,Boeing,341,23052,23052,1143140,Yes,0.0021512070,https://sparse.tamu.edu/Boeing/bcsstk36,https://suitesparse-collection-website.herokuapp.com/files/Boeing/bcsstk36.png,SuiteSparse,
bcsstk37,large-matrices,Boeing,342,25503,25503,1140977,Yes,0.0017542616,https://sparse.tamu.edu/Boeing/bcsstk37,https://suitesparse-collection-website.herokuapp.com/files/Boeing/bcsstk37.png,SuiteSparse,
crystk03,large-matrices,Boeing,352,24696,24696,1751178,Yes,0.0028712900,https://sparse.tamu.edu/Boeing/crystk03,https://suitesparse-collection-website.herokuapp.com/files/Boeing/crystk03.png,SuiteSparse,
ct20stif,large-matrices,Boeing,356,52329,52329,2600295,Yes,0.0009495935,https://sparse.tamu.edu/Boeing/ct20stif,https://suitesparse-collection-website.herokuapp.com/files/Boeing/ct20stif.png,SuiteSparse,
msc10848,large-matrices,Boeing,361,10848,10848,1229776,Yes,0.0104502495,https://sparse.tamu.edu/Boeing/msc10848,https://suitesparse-collection-website.herokuapp.com/files/Boeing/msc10848.png,SuiteSparse,
msc23052,large-matrices,Boeing,362,23052,23052,1142686,Yes,0.0021503526,https://sparse.tamu.edu/Boeing/msc23052,https://suitesparse-collection-website.herokuapp.com/files/Boeing/msc23052.png,SuiteSparse,
pcrystk03,large-matrices,Boeing,367,24696,24696,1751178,Yes,0.0028712900,https://sparse.tamu.edu/Boeing/pcrystk03,https://suitesparse-collection-website.herokuapp.com/files/Boeing/pcrystk03.png,SuiteSparse,
pct20stif,large-matrices,Boeing,368,52329,52329,2698463,Yes,0.0009854432,https://sparse.tamu.edu/Boeing/pct20stif,https://suitesparse-collection-website.herokuapp.com/files/Boeing/pct20stif.png,SuiteSparse,
pwtk,large-matrices,Boeing,369,217918,217918,11524432,Yes,0.0002426796,https://sparse.tamu.edu/Boeing/pwtk,https://suitesparse-collection-website.herokuapp.com/files/Boeing/pwtk.png,SuiteSparse,
rma10,large-matrices,Bova,374,46835,46835,2329092,No,0.0010618070,https://sparse.tamu.edu/Bova/rma10,https://suitesparse-collection-website.herokuapp.com/files/Bova/rma10.png,SuiteSparse,
ex11,large-matrices,FIDAP,409,16614,16614,1096948,No,0.0039740894,https://sparse.tamu.edu/FIDAP/ex11,https://suitesparse-collection-website.herokuapp.com/files/FIDAP/ex11.png,SuiteSparse,
rim,large-matrices,Goodwin,447,22560,22560,1014951,No,0.0019941916,https://sparse.tamu.edu/Goodwin/rim,https://suitesparse-collection-website.herokuapp.com/files/Goodwin/rim.png,SuiteSparse,
gupta1,large-matrices,Gupta,536,31802,31802,2164210,Yes,0.0021398855,https://sparse.tamu.edu/Gupta/gupta1,https://suitesparse-collection-website.herokuapp.com/files/Gupta/gupta1.png,SuiteSparse,
gupta2,large-matrices,Gupta,537,62064,62064,4248286,Yes,0.0011028951,https://sparse.tamu.edu/Gupta/gupta2,https://suitesparse-collection-website.herokuapp.com/files/Gupta/gupta2.png,SuiteSparse,
gupta3,large-matrices,Gupta,538,16783,16783,9323427,Yes,0.0331006396,https://sparse.tamu.edu/Gupta/gupta3,https://suitesparse-collection-website.herokuapp.com/files/Gupta/gupta3.png,SuiteSparse,
lp_osa_60,large-matrices,LPnetlib,648,10280,243246,1408073,No,0.0005631011,https://sparse.tamu.edu/LPnetlib/lp_osa_60,https://suitesparse-collection-website.herokuapp.com/files/LPnetlib/lp_osa_60.png,SuiteSparse,
li,large-matrices,Li,732,22695,22695,1215181,No,0.0023592860,https://sparse.tamu.edu/Li/li,https://suitesparse-collection-website.herokuapp.com/files/Li/li.png,SuiteSparse,
pli,large-matrices,Li,733,22695,22695,1350309,Yes,0.0026216384,https://sparse.tamu.edu/Li/pli,https://suitesparse-collection-website.herokuapp.com/files/Li/pli.png,SuiteSparse,
lhr71,large-matrices,Mallya,750,70304,70304,1494006,No,0.0003022681,https://sparse.tamu.edu/Mallya/lhr71,https://suitesparse-collection-website.herokuapp.com/files/Mallya/lhr71.png,SuiteSparse,
lhr71c,large-matrices,Mallya,751,70304,70304,1528092,No,0.0003091644,https://sparse.tamu.edu/Mallya/lhr71c,https://suitesparse-collection-website.herokuapp.com/files/Mallya/lhr71c.png,SuiteSparse,
nasasrb,large-matrices,Nasa,761,54870,54870,2677324,Yes,0.0008892646,https://sparse.tamu.edu/Nasa/nasasrb,https://suitesparse-collection-website.herokuapp.com/files/Nasa/nasasrb.png,SuiteSparse,
nemeth21,large-matrices,Nemeth,785,9506,9506,1173746,Yes,0.0129890834,https://sparse.tamu.edu/Nemeth/nemeth21,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth21.png,SuiteSparse,
nemeth22,large-matrices,Nemeth,786,9506,9506,1358832,Yes,0.0150373098,https://sparse.tamu.edu/Nemeth/nemeth22,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth22.png,SuiteSparse,
nemeth23,large-matrices,Nemeth,787,9506,9506,1506810,Yes,0.0166748860,https://sparse.tamu.edu/Nemeth/nemeth23,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth23.png,SuiteSparse,
nemeth24,large-matrices,Nemeth,788,9506,9506,1506550,Yes,0.0166720088,https://sparse.tamu.edu/Nemeth/nemeth24,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth24.png,SuiteSparse,
nemeth25,large-matrices,Nemeth,789,9506,9506,1511758,Yes,0.0167296423,https://sparse.tamu.edu/Nemeth/nemeth25,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth25.png,SuiteSparse,
nemeth26,large-matrices,Nemeth,790,9506,9506,1511760,Yes,0.0167296644,https://sparse.tamu.edu/Nemeth/nemeth26,https://suitesparse-collection-website.herokuapp.com/files/Nemeth/nemeth26.png,SuiteSparse,
lp_nug30,large-matrices,Qaplib,800,52260,379350,1567800,No,0.0000790826,https://sparse.tamu.edu/Qaplib/lp_nug30,https://suitesparse-collection-website.herokuapp.com/files/Qaplib/lp_nug30.png,SuiteSparse,
xenon1,large-matrices,Ronis,801,48600,48600,1181120,No,0.0005000593,https://sparse.tamu.edu/Ronis/xenon1,https://suitesparse-collection-website.herokuapp.com/files/Ronis/xenon1.png,SuiteSparse,
xenon2,large-matrices,Ronis,802,157464,157464,3866688,No,0.0001559468,https://sparse.tamu.edu/Ronis/xenon2,https://suitesparse-collection-website.herokuapp.com/files/Ronis/xenon2.png,SuiteSparse,
3dtube,large-matrices,Rothberg,803,45330,45330,3213618,Yes,0.0015639498,https://sparse.tamu.edu/Rothberg/3dtube,https://suitesparse-collection-website.herokuapp.com/files/Rothberg/3dtube.png,SuiteSparse,
cfd1,large-matrices,Rothberg,804,70656,70656,1825580,Yes,0.0003656813,https://sparse.tamu.edu/Rothberg/cfd1,https://suitesparse-collection-website.herokuapp.com/files/Rothberg/cfd1.png,SuiteSparse,
cfd2,large-matrices,Rothberg,805,123440,123440,3085406,Yes,0.0002024886,https://sparse.tamu.edu/Rothberg/cfd2,https://suitesparse-collection-website.herokuapp.com/files/Rothberg/cfd2.png,SuiteSparse,
gearbox,large-matrices,Rothberg,806,153746,153746,9080404,Yes,0.0003841471,https://sparse.tamu.edu/Rothberg/gearbox,https://suitesparse-collection-website.herokuapp.com/files/Rothberg/gearbox.png,SuiteSparse,
struct3,large-matrices,Rothberg,807,53570,53570,1173694,Yes,0.0004089890,https://sparse.tamu.edu/Rothberg/struct3,https://suitesparse-collection-website.herokuapp.com/files/Rothberg/struct3.png,SuiteSparse,
appu,large-matrices,Simon,811,14000,14000,1853104,No,0.0094546122,https://sparse.tamu.edu/Simon/appu,https://suitesparse-collection-website.herokuapp.com/files/Simon/appu.png,SuiteSparse,
bbmat,large-matrices,Simon,812,38744,38744,1771722,No,0.0011802844,https://sparse.tamu.edu/Simon/bbmat,https://suitesparse-collection-website.herokuapp.com/files/Simon/bbmat.png,SuiteSparse,
olafu,large-matrices,Simon,813,16146,16146,1015156,Yes,0.0038940622,https://sparse.tamu.edu/Simon/olafu,https://suitesparse-collection-website.herokuapp.com/files/Simon/olafu.png,SuiteSparse,
raefsky3,large-matrices,Simon,816,21200,21200,1488768,No,0.0033124956,https://sparse.tamu.edu/Simon/raefsky3,https://suitesparse-collection-website.herokuapp.com/files/Simon/raefsky3.png,SuiteSparse,
